name,addr_load,addr_lot,rating_score,rating_num
포비 합정점,서울 마포구 양화로3길 66 1층,(지번) 합정동 426-18,3.7,205건
앤트러사이트 서교점,서울 마포구 월드컵로12길 11,(지번) 서교동 475-22,3.6,292건
당인리책발전소,"서울 마포구 월드컵로14길 10-8 지하층 ,1층",(지번) 서교동 475-26,3.8,106건
어반플랜트 합정,서울 마포구 독막로4길 3 1~3층,(지번) 합정동 363-28,4.2,365건
943킹스크로스,"서울 마포구 양화로16길 24 지하1층, 1~4층",(지번) 서교동 369-1,4.1,400건
레드플랜트,서울 마포구 양화로7길 6,(지번) 서교동 392-15,4.2,63건
빌리프커피로스터스,"서울 마포구 양화로11길 50 해동빌딩 지하1층,1층",(지번) 서교동 384-3,3.5,147건
빈브라더스 합정,서울 마포구 토정로 35-1,(지번) 합정동 368-3,4.3,183건
카페미뇽,서울 마포구 양화로6길 35,(지번) 서교동 394-16,3.3,77건
멜로우,서울 마포구 잔다리로 30-11 1층,(지번) 서교동 368-7,4,24건
피오니 홍대점,서울 마포구 독막로7길 51 1층,(지번) 서교동 395-78,3.8,317건
앤트러사이트 합정점,서울 마포구 토정로5길 10,(지번) 합정동 357-6,3.6,198건
피피커피,서울 마포구 동교로 23 1층,(지번) 망원동 394-75,4.6,78건
터틀힙,서울 마포구 연남로1길 44 1층,(지번) 연남동 565-19,4.2,84건
디벙크,서울 마포구 성지1길 30 더보이드빌딩 지하1층,(지번) 합정동 366-1,4,130건
집사의하루 홍대점,서울 마포구 와우산로21길 19-8 태경빌딩 2층,(지번) 서교동 364-2,4.2,140건
포도앤커피,서울 마포구 포은로 20 1층,(지번) 합정동 394-15,4.9,7건
밤부베이커리&브루잉,서울 마포구 월드컵로5길 33-23,(지번) 합정동 386-11,3.5,83건
커피탐이나,서울 마포구 잔다리로3안길 31,(지번) 서교동 395-128,3.7,7건
ㅎㄷ카페,서울 마포구 어울마당로 68 3-9층,(지번) 서교동 363-17,3.5,15건
메이크베러띵스,서울 마포구 월드컵로17길 37 망리단88 1층,(지번) 망원동 57-88,4.9,28건
투썸플레이스 합정메세나폴리스점,서울 마포구 양화로 45 지하1층 B166호,(지번) 서교동 490,2.9,21건
델문도,서울 마포구 잔다리로 19-6 2층,(지번) 서교동 405-15,2.8,71건
비트포비아 홍대던전점,서울 마포구 독막로3길 30 지하2층,(지번) 서교동 396-46,3.5,31건
스타벅스 서교동사거리점,서울 마포구 양화로 105 동원빌딩 1층,(지번) 서교동 374-20,4.7,36건
판타지트,서울 마포구 월드컵로10길 39 1층,(지번) 서교동 477-4,5,2건
큐브이스케이프 홍대점,서울 마포구 양화로16길 15 무광빌딩 4층,(지번) 서교동 355-17,2.6,41건
새검정,서울 마포구 독막로2길 17 1층,(지번) 합정동 366-3,3.7,74건
그레이랩,서울 마포구 토정로3길 16 1층,(지번) 합정동 367-9,4,81건
카페그랑주,서울 마포구 홍익로5길 13 동신빌딩 지하1층,(지번) 서교동 355-2,2.7,48건
카페쿠키드,서울 마포구 어울마당로5길 25 1층,(지번) 서교동 400-2,4.6,10건
다다랩,서울 마포구 월드컵로15길 17 지하,(지번) 망원동 376-9,4.4,87건
스타벅스 합정폴리스R점,서울 마포구 양화로 45 메세나폴리스 지하1층 B189-B193호,(지번) 서교동 490,4.4,25건
